epoch,train_loss,val_loss,val_acc,val_f1,lr,seconds
1,1.0493910182352237,0.9191444930843232,0.6344028171769539,0.47238418766168117,0.0009990133642141358,78.41868719999911
2,0.8852318617750741,0.8170140390058885,0.6837034138706838,0.5204261462461974,0.000996057350657239,51.664987800002564
3,0.8346539435302167,0.7623444645357939,0.7101144478137533,0.5399446055755206,0.0009911436253643444,50.52076320000924
4,0.7969943041161623,0.7742780284453404,0.713049007140761,0.5325490478237478,0.0009842915805643156,52.43961180001497
5,0.7778089220430057,0.7195356223992052,0.7773647657243471,0.5718511213068138,0.0009755282581475769,52.72504829999525
6,0.7498635516568738,0.6667794456258511,0.7379438520982099,0.551513247265957,0.0009648882429441258,52.88230930001009
7,0.7374926382584112,0.7075612734911039,0.7057615181453585,0.5339545183619574,0.0009524135262330099,52.68832220000331
8,0.7155863854475595,0.6524388465491407,0.7631321529883596,0.596736419764246,0.0009381533400219318,52.74164190000738
9,0.7003755418983174,0.6835259060057177,0.7383351266751443,0.5608234017996323,0.0009221639627510075,52.21714660001453
10,0.6914429001306192,0.66404685991146,0.76327888095471,0.5735733078672941,0.0009045084971874736,50.56251330001396
11,0.6746483860134104,0.6816322605087253,0.7149075613811993,0.5536709788041378,0.0008852566213878945,51.33109720001812
12,0.6633424864295833,0.6204759416649699,0.7363787537904725,0.5919224177330054,0.0008644843137107056,52.10535669999081
13,0.6553702980853767,0.6539005583412176,0.7345201995500342,0.576517942078745,0.0008422735529643443,51.487624200002756
14,0.6413615842731113,0.6239796995148784,0.7555512080602563,0.5893489176608537,0.0008187119948743448,50.39541800000006
15,0.6275447405524455,0.6231009161986566,0.7484104470312042,0.5956223944042939,0.0007938926261462366,50.08327870001085
16,0.62013751137923,0.6169725869495575,0.7399491343049985,0.5848550481704695,0.0007679133974894982,50.4602467000077
