model,feature,coef,se,t,pval
naive,income_2017,0.0046320595353978485,0.035958766085334104,0.12881586438214987,0.8975888133408707
naive,pov_rate_2017,1.3877787807814457e-17,2.492694081399908e-19,55.67385067974579,0.0
naive,median_home_value_2017,-0.03745761356362969,0.037593018278006186,-0.9963981419801103,0.3198517818337203
naive,renter_pct_2017,-0.08154765885030006,0.03759646492054818,-2.1690246416154553,0.03085828061448259
controlled,exposure_proxy,0.0,0.0,,
controlled,building_density,-0.027011198269612676,0.035612174451104484,-0.7584821394913431,0.44875785771181187
controlled,median_building_age,0.12197077521931068,0.03571673272890694,3.4149477261842316,0.0007258268718370875
controlled,income_2017,0.005345463061706649,0.035434827675135415,0.15085336693926005,0.8801927689875895
controlled,pov_rate_2017,2.7755575615628914e-17,,,
controlled,median_home_value_2017,-0.03579843971487768,0.037009714548467,-0.9672714353956158,0.3341874821690398
controlled,renter_pct_2017,-0.06941287433533944,0.03728303328320982,-1.8617818407655982,0.06361157484608215
