uid,damage_class,scene_id,event_name,GEOID,damage_score
418c3599-cf68-4d44-b66e-f595ea4b94c2,no-damage,hurricane-florence_00000021,hurricane-florence,371419204022,0.0
fd78ef10-ab3a-4818-86e3-cbf2920e0103,no-damage,hurricane-florence_00000021,hurricane-florence,371419204022,0.0
b4ce4d52-1378-4fb4-8f42-fbbfd2a2b48b,no-damage,hurricane-florence_00000021,hurricane-florence,371419204022,0.0
e3c12be1-70ad-44cc-920f-8cc600e87dbf,major-damage,hurricane-florence_00000021,hurricane-florence,371419204022,2.0
a5f3cb9e-4436-402f-b33e-28253b8f5998,no-damage,hurricane-florence_00000021,hurricane-florence,371419204022,0.0
eae7f9d0-f954-408a-82fb-11df628ba481,minor-damage,hurricane-florence_00000021,hurricane-florence,371419204022,1.0
15ed1580-4314-4230-98a0-0cebc527e0dd,major-damage,hurricane-florence_00000021,hurricane-florence,371419204022,2.0
9e5cad29-d057-442d-bc3a-3c39bbcc3302,destroyed,hurricane-florence_00000021,hurricane-florence,371419204022,3.0
5a5d378e-510e-49d8-b8fc-34fabcbd586c,destroyed,hurricane-florence_00000021,hurricane-florence,371419204022,3.0
6ca158bd-6857-4fd1-b3cf-f903c0a6f36f,minor-damage,hurricane-florence_00000021,hurricane-florence,371419204022,1.0
250186ad-5e28-459b-bc12-52ad3db11e74,no-damage,hurricane-florence_00000021,hurricane-florence,371419204022,0.0
a2d0f9a1-5f35-4f34-aec3-b18845a7464f,major-damage,hurricane-florence_00000029,hurricane-florence,371419202042,2.0
738c8621-9984-4ae1-87fe-e677fc46293f,destroyed,hurricane-florence_00000029,hurricane-florence,371419202042,3.0
a25c44d5-2fb8-43ee-b4eb-87ea852e7bd3,destroyed,hurricane-florence_00000029,hurricane-florence,371419202042,3.0
e039b230-da80-4459-a9cc-4a1356b40dd3,destroyed,hurricane-florence_00000029,hurricane-florence,371419202042,3.0
043fc6d5-b98d-4396-981f-067b9846afa8,destroyed,hurricane-florence_00000029,hurricane-florence,371419202042,3.0
