GEOID,building_count,damage_score_mean,damage_score_std,share_no-damage,share_minor-damage,share_major-damage,share_destroyed,income_2017,pov_rate_2017,median_home_value_2017,renter_pct_2017,median_year_built_2017,pop_density_2017,exposure_proxy,building_density,median_building_age
011250105001,648,0.11574074074074074,0.43123675428341085,0.9151234567901234,0.06481481481481481,0.009259259259259259,0.010802469135802469,28750,,69700,0.2742268041237113,1961,1331,0.0,1.331,59
011250105002,253,0.10276679841897234,0.49332071750723394,0.9486166007905138,0.023715415019762844,0.003952569169960474,0.023715415019762844,35347,,56900,0.2516778523489933,1964,883,0.0,0.883,56
011250106012,260,0.038461538461538464,0.2455423798269054,0.9692307692307692,0.026923076923076925,0.0,0.0038461538461538464,46853,,123400,0.1867124856815578,1995,2535,0.0,2.535,25
011250106013,904,0.6858407079646017,1.1318302003856078,0.6847345132743363,0.10619469026548672,0.04756637168141593,0.16150442477876106,39375,,67700,0.1002949852507374,1993,1136,0.0,1.136,27
011250108031,765,1.2183006535947711,1.2885641745765672,0.44052287581699345,0.20392156862745098,0.05228758169934641,0.3032679738562091,18026,,84200,0.5883534136546185,1983,1496,0.0,1.496,37
011250108032,270,0.025925925925925925,0.15920946104173256,0.9740740740740741,0.025925925925925925,0.0,0.0,50288,,208000,0.7308347529812607,1992,1539,0.0,1.539,28
011250108041,41,0.0,0.0,1.0,0.0,0.0,0.0,47829,,123500,0.1924603174603174,1973,1315,0.0,1.315,47
011250112001,36,0.0,0.0,1.0,0.0,0.0,0.0,25833,,292900,0.8580246913580247,1991,7307,0.0,7.307,29
011250114011,75,0.0,0.0,1.0,0.0,0.0,0.0,29597,,343200,0.4831932773109244,1964,438,0.0,0.438,56
011250114012,317,0.0,0.0,1.0,0.0,0.0,0.0,9223,,-666666666,0.8878923766816144,1988,684,0.0,0.684,32
011250114013,149,0.0,0.0,1.0,0.0,0.0,0.0,5379,,178800,0.8697916666666666,1993,1399,0.0,1.399,27
