name,path,subdir,scene_id,disaster,kind,origin,split
guatemala-volcano_00000003_post_disaster.json,xbd\test\labels\guatemala-volcano_00000003_post_disaster.json,labels,guatemala-volcano_00000003,guatemala-volcano,post_disaster,test,test_id
guatemala-volcano_00000003_post_disaster.png,xbd\test\images\guatemala-volcano_00000003_post_disaster.png,images,guatemala-volcano_00000003,guatemala-volcano,post_disaster,test,test_id
guatemala-volcano_00000003_post_disaster.png,xbd\test\masks\guatemala-volcano_00000003_post_disaster.png,masks,guatemala-volcano_00000003,guatemala-volcano,post_disaster,test,test_id
guatemala-volcano_00000003_post_disaster_rgb.png,xbd\test\masks\guatemala-volcano_00000003_post_disaster_rgb.png,masks,guatemala-volcano_00000003,guatemala-volcano,post_disaster_rgb,test,test_id
guatemala-volcano_00000003_pre_disaster.json,xbd\test\labels\guatemala-volcano_00000003_pre_disaster.json,labels,guatemala-volcano_00000003,guatemala-volcano,pre_disaster,test,test_id
guatemala-volcano_00000003_pre_disaster.png,xbd\test\images\guatemala-volcano_00000003_pre_disaster.png,images,guatemala-volcano_00000003,guatemala-volcano,pre_disaster,test,test_id
guatemala-volcano_00000003_pre_disaster.png,xbd\test\masks\guatemala-volcano_00000003_pre_disaster.png,masks,guatemala-volcano_00000003,guatemala-volcano,pre_disaster,test,test_id
guatemala-volcano_00000004_post_disaster.json,xbd\hold\labels\guatemala-volcano_00000004_post_disaster.json,labels,guatemala-volcano_00000004,guatemala-volcano,post_disaster,hold,test_id
guatemala-volcano_00000004_post_disaster.png,xbd\hold\images\guatemala-volcano_00000004_post_disaster.png,images,guatemala-volcano_00000004,guatemala-volcano,post_disaster,hold,test_id
guatemala-volcano_00000004_post_disaster.png,xbd\hold\masks\guatemala-volcano_00000004_post_disaster.png,masks,guatemala-volcano_00000004,guatemala-volcano,post_disaster,hold,test_id
guatemala-volcano_00000004_post_disaster_rgb.png,xbd\hold\masks\guatemala-volcano_00000004_post_disaster_rgb.png,masks,guatemala-volcano_00000004,guatemala-volcano,post_disaster_rgb,hold,test_id
guatemala-volcano_00000004_pre_disaster.json,xbd\hold\labels\guatemala-volcano_00000004_pre_disaster.json,labels,guatemala-volcano_00000004,guatemala-volcano,pre_disaster,hold,test_id
guatemala-volcano_00000004_pre_disaster.png,xbd\hold\images\guatemala-volcano_00000004_pre_disaster.png,images,guatemala-volcano_00000004,guatemala-volcano,pre_disaster,hold,test_id
guatemala-volcano_00000004_pre_disaster.png,xbd\hold\masks\guatemala-volcano_00000004_pre_disaster.png,masks,guatemala-volcano_00000004,guatemala-volcano,pre_disaster,hold,test_id
guatemala-volcano_00000005_post_disaster.json,xbd\test\labels\guatemala-volcano_00000005_post_disaster.json,labels,guatemala-volcano_00000005,guatemala-volcano,post_disaster,test,test_id
guatemala-volcano_00000005_post_disaster.png,xbd\test\images\guatemala-volcano_00000005_post_disaster.png,images,guatemala-volcano_00000005,guatemala-volcano,post_disaster,test,test_id
guatemala-volcano_00000005_post_disaster.png,xbd\test\masks\guatemala-volcano_00000005_post_disaster.png,masks,guatemala-volcano_00000005,guatemala-volcano,post_disaster,test,test_id
