epoch,phase,train_loss,val_loss,val_acc,val_f1
1,head,1.0457381329217832,0.931940245655177,0.5706250611366527,0.4277247725728084
2,head,0.962021042737051,0.8613487481021442,0.6106328866281914,0.46489785305296283
3,head,0.9331418941656479,0.8390981666638079,0.6255991391959308,0.4785432428919869
4,head,0.898555652368964,0.8343791586655664,0.6299031595422088,0.4820346892189681
5,head,0.8848827338773242,0.8055393167709541,0.6456030519417001,0.49885330566020397
6,finetune,0.7877868203188468,0.6443310239468257,0.7459649809253643,0.5801310205771792
7,finetune,0.6643634250437516,0.6079881421906088,0.7470898953340507,0.5887966889416542
8,finetune,0.6126326487580854,0.616855198228288,0.7540350190746357,0.6011317986998197
9,finetune,0.5731974475830017,0.6070488909505228,0.7635723368874108,0.604175451576687
10,finetune,0.5400548771467621,0.5972618262828195,0.7732074733444194,0.6184652871191689
11,finetune,0.5008560015674718,0.588373643351688,0.7793211386090189,0.6326327732371282
12,finetune,0.47847968558667686,0.6110708006006927,0.7837718869216472,0.6273465010374603
13,finetune,0.43941219630613626,0.6160581166072798,0.7827447911571945,0.6316485019977707
14,finetune,0.41713736660259854,0.6403802408376086,0.7758485767387264,0.6183586748921724
15,finetune,0.38836325831182816,0.6496184174910481,0.7812286021715739,0.6230122663478322
16,finetune,0.3696417051728005,0.6542630146525324,0.7790765919984349,0.626557843893158
17,finetune,0.34653723297119665,0.6938961947237129,0.7923799276142033,0.6311231549021913
18,finetune,0.3167423546474458,0.7001715777182222,0.7930646581238384,0.6396849714871001
19,finetune,0.29807369903664327,0.7082588416652228,0.7908637386285826,0.6339667127229678
20,finetune,0.28268254161456524,0.7182253760743093,0.7909126479506994,0.6276318545458136
21,finetune,0.2666992481677974,0.7444216615472954,0.7879780886236917,0.6308155449757913
22,finetune,0.23866701230731285,0.7668522020602756,0.7942384818546415,0.6408313839843404
23,finetune,0.22539765799233247,0.7746231018429947,0.8095470996771985,0.6536390348250131
24,finetune,0.2162475358950038,0.7882878233265133,0.8020150640712119,0.6407667569459436
25,finetune,0.19488747168852028,0.8052273712331484,0.8106720140858847,0.6526338346142948
26,finetune,0.1846294190340822,0.8349948421471928,0.8123349310378558,0.651945158852681
27,finetune,0.1690621075545697,0.8592971627036851,0.8126283869705566,0.6521188630746315
28,finetune,0.15736441253484443,0.8764618473134954,0.8204538785092439,0.6615002422418008
29,finetune,0.14457340077709344,0.8982838123153476,0.8147314878215788,0.655591779189777
30,finetune,0.13460165654186018,0.9044065802260339,0.8164922234177834,0.6573153322418405
31,finetune,0.12609471525438815,0.9704945158651753,0.8250513547882227,0.6603451071849886
32,finetune,0.11891288000601254,0.9667402667494585,0.8229482539372004,0.6562665184278922
33,finetune,0.10813035775695161,0.9849918409649971,0.8183996869803385,0.6554658817652756
34,finetune,0.1029726030448387,0.9920250355561838,0.8198669666438423,0.654932827279268
35,finetune,0.0988170778298837,1.0270369699804047,0.8301379242883694,0.665575471536268
36,finetune,0.08978800101944368,1.0583749091008352,0.8265675437738433,0.6609126074671745
37,finetune,0.08134879555514983,1.0630616084678433,0.829746649711435,0.66350132884547
38,finetune,0.07645674569216436,1.0802361381712182,0.829257556490267,0.6650601833026548
39,finetune,0.07245780177072318,1.075501898633959,0.826860999706544,0.6621485204150694
40,finetune,0.07184130671671214,1.0818145324033406,0.8274479115719456,0.6608056764575323
41,finetune,0.06417464352627136,1.1172300882300064,0.8289641005575663,0.6595243740049357
42,finetune,0.06085861649944004,1.128069794772423,0.8323388437836251,0.6653574315826067
43,finetune,0.0590858930060057,1.1297422712806338,0.8303335615768366,0.6610382201120835
